,date,repeated_hour_flag,dam,rtm
530,2022-01-06 12:30:00,N,22.35,22.62
531,2022-01-06 12:45:00,N,22.35,22.38
532,2022-01-06 13:00:00,N,25.04,21.99
533,2022-01-06 13:15:00,N,25.04,22.47
534,2022-01-06 13:30:00,N,25.04,22.49
535,2022-01-06 13:45:00,N,25.04,22.49
536,2022-01-06 14:00:00,N,24.9,22.47
537,2022-01-06 14:15:00,N,24.9,22.49
538,2022-01-06 14:30:00,N,24.9,22.51
539,2022-01-06 14:45:00,N,24.9,22.51
540,2022-01-06 15:00:00,N,25.57,22.46
541,2022-01-06 15:15:00,N,25.57,22.47
542,2022-01-06 15:30:00,N,25.57,22.49
543,2022-01-06 15:45:00,N,25.57,22.5
544,2022-01-06 16:00:00,N,28.82,22.49
545,2022-01-06 16:15:00,N,28.82,22.72
546,2022-01-06 16:30:00,N,28.82,23.57
547,2022-01-06 16:45:00,N,28.82,25.21
548,2022-01-06 17:00:00,N,62.93,27.21
549,2022-01-06 17:15:00,N,62.93,35.65
550,2022-01-06 17:30:00,N,62.93,46.63
551,2022-01-06 17:45:00,N,62.93,103.91
552,2022-01-06 18:00:00,N,56.55,43.81
553,2022-01-06 18:15:00,N,56.55,43.17
554,2022-01-06 18:30:00,N,56.55,40.3
